"target_min_snr","selected_Ncomp","achieved_min_snr","achieved_median_snr","status"
5,20,5.81104774983844,19.7750779355253,"reached"
10,10,10.4840168012786,26.266849971602,"reached"
15,4,19.7347104426491,59.8460302214004,"reached"
20,2,47.0825220098159,84.9032133640542,"reached"
