"Ncomp","min_snr","median_snr","q16_snr","q84_snr"
40,4.08345302750897,12.2118442824618,5.81593908381971,24.6689822308518
20,5.81104774983844,19.7750779355253,7.7072474220659,35.3746636584534
15,5.81104774983844,17.097266162894,9.49935638036538,43.1645041417459
10,10.4840168012786,26.266849971602,11.6809494905744,49.5373528911514
8,10.8717575950945,35.1291512099427,17.030878859257,52.2522162584817
5,10.8717575950945,42.7908240125663,14.4573482859707,84.3769543169362
4,19.7347104426491,59.8460302214004,30.8016449562093,87.6994955999148
3,19.7347104426491,42.7908240125663,27.1126667850226,97.14531889246
2,47.0825220098159,84.9032133640542,59.1851432431721,110.621283484936
