band,wave_um,obs_ujy,err_ujy,model_ujy,pull,fit_rms_sigma
F090W,0.902,2.75243507385446,0.16522447316197805,2.820574206680493,-0.4124033898975274,1.7667349929815583
F115W,1.154,3.67419563232209,0.220525775933177,3.8786120086692732,-0.9269500378455756,1.7667349929815583
F150W,1.501,4.5838135373373,0.27510783702663405,4.661295970051459,-0.2816438584650616,1.7667349929815583
F182M,1.845,4.7503949579427704,0.28508729244410613,4.683111589144926,0.23600970853878364,1.7667349929815583
F200W,1.99,5.10035200265276,0.3061123349957245,4.688924376947388,1.3440413164373732,1.7667349929815583
F210M,2.093,5.52385210513559,0.33146471619938545,4.698169673757067,2.491011534639033,1.7667349929815583
F277W,2.786,4.89274600981649,0.29361430425405594,4.787152806770152,0.3596323527717882,1.7667349929815583
F335M,3.365,4.36454009055266,0.2619035995042642,3.9443213139536404,1.604478813557422,1.7667349929815583
F356W,3.563,3.1798277735730203,0.1908465490178238,3.65302315273577,-2.4794547326006735,1.7667349929815583
F410M,4.092,3.08001332998578,0.18494391348337058,2.910381332165595,0.9172077881624239,1.7667349929815583
F430M,4.28,3.01818542182104,0.1811331103143488,2.7797669656562225,1.316261040022184,1.7667349929815583
F444W,4.421,2.93744331597871,0.1764652384635885,2.686658025154679,1.421159730990176,1.7667349929815583
F460M,4.624,2.83065780460937,0.16997187805874933,2.5922709422291303,1.4025076683440745,1.7667349929815583
F480M,4.834,1.81141578539372,0.1088148998670464,2.2871135801317144,-4.371623696012379,1.7667349929815583
